Project Name,Project ID,Created Date,Last Modified Date , Status ,# of Files in Deposit ,Total File Size ,,,,,,
  Replication data for: Ending Rent Control Reduced Crime in Cambridge  ,114508,  2019-05-01T00:00:00  ,  2019-10-13T05:32:39.282Z  ,  PUBLISHED  ,23,1092247,,,,,,
  Replication data for: Dishonesty and Selection into Public Service: Evidence from India  ,114629,  2017-08-01T00:00:00  ,  2019-10-13T08:03:15.548Z  ,  PUBLISHED  ,24,2509038,,,,,,
  Replication data for: A Letter and Encouragement: Does Information Increase Postsecondary Enrollment of UI Recipients?  ,114702,  2018-08-01T00:00:00  ,  2019-10-13T09:45:08.897Z  ,  PUBLISHED  ,44,2785484920,,,,,,
  Replication data for: Cash-Flow Taxes in an International Setting  ,114714,  2018-08-01T00:00:00  ,  2019-10-13T10:04:40.067Z  ,  PUBLISHED  ,13,1522772,,,,,,
  Replication data for: Trade and Investment under Policy Uncertainty: Theory and Firm Evidence  ,114605,  2015-11-01T00:00:00  ,  2019-10-13T07:24:01.049Z  ,  PUBLISHED  ,10,567898,,,,,,
  Replication data for: Trade Restrictiveness and Deadweight Losses from US Tariffs  ,114738,  2010-08-01T00:00:00  ,  2019-10-13T10:17:55.224Z  ,  PUBLISHED  ,7,4548302,,,,,,
  Replication data for: Can Electronic Procurement Improve Infrastructure Provision? Evidence from Public Works in India and Indonesia  ,114617,  2016-08-01T00:00:00  ,  2019-10-13T07:32:34.493Z  ,  PUBLISHED  ,39,2247553089,,,,,,
  Replication data for: Fertility and Wars: The Case of World War I in France  ,114291,  2014-04-01T00:00:00  ,  2019-10-13T01:58:24.671Z  ,  PUBLISHED  ,11,86114,,,,,,
  Replication data for: Trading in Networks: A Normal Form Game Experiment  ,114316,  2009-08-01T00:00:00  ,  2019-10-13T02:10:55.161Z  ,  PUBLISHED  ,4,791372,,,,,,
  Replication data for: A Method to Link Advances in Artificial Intelligence to Occupational Abilities  ,114437,  2018-05-01T00:00:00  ,  2019-10-13T03:57:53.422Z  ,  PUBLISHED  ,5,19606632,,,,,,
  Replication data for: Monetary Policy without Interest Rates: Evidence from France's Golden Age (1948 to 1973) Using a Narrative Approach  ,114304,  2014-10-01T00:00:00  ,  2019-10-13T02:03:14.002Z  ,  PUBLISHED  ,4,97738,,,,,,
  Replication data for: Effects of Mergers in Two-Sided Markets: The US Radio Industry  ,114425,  2014-11-01T00:00:00  ,  2019-10-13T03:50:15.833Z  ,  PUBLISHED  ,168,798288,,,,,,
  Replication data for: On the Efficiency of Codeshare Contracts between Airlines: Is Double Marginalization Eliminated?  ,114413,  2013-11-01T00:00:00  ,  2019-10-13T03:37:20.752Z  ,  PUBLISHED  ,349,67274958,,,,,,
  Replication data for: Evolutionary Selection of Individual Expectations and Aggregate Outcomes in Asset Pricing Experiments  ,114401,  2012-05-01T00:00:00  ,  2019-10-13T03:22:45.702Z  ,  PUBLISHED  ,8,127285,,,,,,
  Replication data for: Testing Ambiguity Models through the Measurement of Probabilities for Gains and Losses  ,114328,  2015-04-01T00:00:00  ,  2019-10-13T02:25:19.106Z  ,  PUBLISHED  ,4,82320,,,,,,
  Replication data for: The Effect of the Disability Insurance Application Decision on the Employment of Denied Applicants  ,114449,  2018-05-01T00:00:00  ,  2019-10-13T04:55:03.526Z  ,  PUBLISHED  ,11,3274611660,,,,,,
  Replication data for: The Child Left Behind: Parental Incarceration and Adult Human Capital in the United States  ,114533,  2019-05-01T00:00:00  ,  2019-10-13T05:39:49.212Z  ,  PUBLISHED  ,2,29524,,,,,,
  Replication data for: Behavioral Responses to Wealth Taxes: Evidence from Sweden  ,114654,  2017-11-01T00:00:00  ,  2019-10-13T09:11:18.684Z  ,  PUBLISHED  ,12,190528,,,,,,
  Replication data for: Global Savings and Global Investment: The Transmission of Identified Fiscal Shocks  ,114787,  2012-05-01T00:00:00  ,  2019-10-13T11:10:23.246Z  ,  PUBLISHED  ,34,1729529,,,,,,
  Replication data for: The Paradox of Declining Female Happiness  ,114545,  2009-08-01T00:00:00  ,  2019-10-13T05:46:42.147Z  ,  PUBLISHED  ,686,1595513028,,,,,,
  Replication data for: When Labor Disputes Bring Cities to a Standstill: The Impact of Public Transit Strikes on Traffic  Accidents Air Pollution  and Health  ,114666,  2017-02-01T00:00:00  ,  2019-10-13T09:19:35.614Z  ,  PUBLISHED  ,11,1419036,,,,,,
  Replication data for: The Effect of Health Insurance Coverage on the Use of Medical Services  ,114775,  2012-02-01T00:00:00  ,  2019-10-13T11:03:25.078Z  ,  PUBLISHED  ,36,168904,,,,,,
  Replication data for: Using Taxes to Reduce Carbon Dioxide Emissions Rates of New Passenger Vehicles: Evidence from France  Germany and Sweden  ,114557,  2015-02-01T00:00:00  ,  2019-10-13T06:21:59.633Z  ,  PUBLISHED  ,9,462096,,,,,,
  Replication data for: When Discounts Raise Costs: The Effect of Copay Coupons on Generic Utilization  ,114678,  2017-05-01T00:00:00  ,  2019-10-13T09:23:46.142Z  ,  PUBLISHED  ,5,1534698,,,,,,
  Replication data for: Housing Vouchers and the Price of Rental Housing  ,114569,  2015-08-01T00:00:00  ,  2019-10-13T06:33:24.481Z  ,  PUBLISHED  ,6,4452097,,,,,,
  Replication data for: The Effect of Public Insurance Coverage for Childless Adults on Labor Supply  ,114630,  2017-05-01T00:00:00  ,  2019-10-13T08:03:36.464Z  ,  PUBLISHED  ,8,63199,,,,,,
  Replication data for: Electoral Rules and Politicians' Behavior: A Micro Test  ,114763,  2011-08-01T00:00:00  ,  2019-10-13T10:49:03.516Z  ,  PUBLISHED  ,18,903006,,,,,,
  Replication data for: Bringing Satellite-Based Air Quality Estimates Down to Earth  ,114521,  2019-05-01T00:00:00  ,  2019-10-13T05:37:29.792Z  ,  PUBLISHED  ,20,1441058,,,,,,
  Replication data for: Do Output Contractions Cause Investment in Fiscal Capacity?  ,114642,  2017-05-01T00:00:00  ,  2019-10-13T08:10:26.408Z  ,  PUBLISHED  ,66,9568390,,,,,,
  Replication data for: How Effective Are Public Policies to Increase Health Insurance Coverage among Young Adults?  ,114751,  2011-02-01T00:00:00  ,  2019-10-13T10:38:42.53Z  ,  PUBLISHED  ,63,157356947,,,,,,
  Replication data for: Truth in Consequentiality: Theory and Field Evidence on Discrete Choice Experiments  ,114400,  2012-05-01T00:00:00  ,  2019-10-13T03:22:35.289Z  ,  PUBLISHED  ,8,674686,,,,,,
  Replication data for: Market Structure  Reputation  and the Value of Quality Certification  ,114327,  2015-11-01T00:00:00  ,  2019-10-13T02:25:06.134Z  ,  PUBLISHED  ,11,131483,,,,,,
  Replication data for: Disability Saliency and Discrimination in Hiring  ,114448,  2018-05-01T00:00:00  ,  2019-10-13T04:11:17.557Z  ,  PUBLISHED  ,797,35588466450,,,,,,
  Replication data for: The Geography of Trade in Online Transactions: Evidence from eBay and MercadoLibre  ,114315,  2009-02-01T00:00:00  ,  2019-10-13T02:10:38.151Z  ,  PUBLISHED  ,19,2593690,,,,,,
  Replication data for: What Can Machines Learn and What Does It Mean for Occupations and the Economy?  ,114436,  2018-05-01T00:00:00  ,  2019-10-13T03:57:42.859Z  ,  PUBLISHED  ,6,16400056,,,,,,
  Replication data for: The Impact of Medical and Nursing Home Expenses on Savings  ,114303,  2014-07-01T00:00:00  ,  2019-10-13T02:02:38.354Z  ,  PUBLISHED  ,20,335896803,,,,,,
  Replication data for: Wasteful Sanctions Underperformance and Endogenous Supervision  ,114424,  2014-11-01T00:00:00  ,  2019-10-13T03:49:57.378Z  ,  PUBLISHED  ,3,179801,,,,,,
  Replication data for: Equilibrium Bids in Sponsored Search Auctions: Theory and Evidence  ,114412,  2013-11-01T00:00:00  ,  2019-10-13T03:36:55.632Z  ,  PUBLISHED  ,9,9061904,,,,,,
  Replication data for: Bailouts and the Preservation of Competition: The Case of the Federal Timber Contract Payment Modification Act  ,114339,  2016-08-01T00:00:00  ,  2019-10-13T02:44:18.337Z  ,  PUBLISHED  ,69,27093020,,,,,,
  Replication data for: Mastering Panel Metrics: Causal Impact of Democracy on Growth  ,114522,  2019-05-01T00:00:00  ,  2019-10-13T05:37:50.714Z  ,  PUBLISHED  ,8,302536,,,,,,
  Replication data for: Immigration  Employment Opportunities  and Criminal Behavior  ,114643,  2018-05-01T00:00:00  ,  2019-10-13T08:11:22.995Z  ,  PUBLISHED  ,12,59049404,,,,,,
  Replication data for: Income Taxes Compensating Differentials  and Occupational Choice: How Taxes Distort the Wage-Amenity Decision  ,114776,  2012-02-01T00:00:00  ,  2019-10-13T11:04:14.779Z  ,  PUBLISHED  ,107,776869301,,,,,,
  Replication data for: The Quality of Banks at Stigmatized Lending Facilities  ,114534,  2019-05-01T00:00:00  ,  2019-10-13T05:39:54.045Z  ,  PUBLISHED  ,2,24700,,,,,,
  Replication data for: A Dynamic Model of Housing Supply  ,114655,  2018-11-01T00:00:00  ,  2019-10-13T09:11:35.059Z  ,  PUBLISHED  ,118,16573434,,,,,,
  Replication data for: Do Child Tax Benefits Affect the Well-Being of Children? Evidence from Canadian Child Benefit Expansions  ,114764,  2011-08-01T00:00:00  ,  2019-10-13T10:49:34.693Z  ,  PUBLISHED  ,175,3051747,,,,,,
  Replication data for: Crowded Colleges and College Crowd-Out: The Impact of Public Subsidies on the Two-Year College Market  ,114546,  2009-08-01T00:00:00  ,  2019-10-13T06:00:22.862Z  ,  PUBLISHED  ,4,42452,,,,,,
  Replication data for: Physician Beliefs and Patient Preferences: A New Look at Regional Variation in Health Care Spending  ,114667,  2019-02-01T00:00:00  ,  2019-10-13T09:19:49.974Z  ,  PUBLISHED  ,33,207464,,,,,,
  Replication data for: Return to Treatment in the Formal Health Care Sector: Evidence from Tanzania  ,114558,  2015-08-01T00:00:00  ,  2019-10-13T06:22:13.049Z  ,  PUBLISHED  ,22,52250166,,,,,,
  Replication data for: The Effect of Disability Insurance Payments on Beneficiaries' Earnings  ,114679,  2017-08-01T00:00:00  ,  2019-10-13T09:23:55.388Z  ,  PUBLISHED  ,21,238289,,,,,,
  Replication data for: Does State Fiscal Relief during Recessions Increase Employment? Evidence from the American Recovery and Reinvestment Act  ,114788,  2012-04-01T00:00:00  ,  2019-10-13T11:10:58.176Z  ,  PUBLISHED  ,168,18588125,,,,,,
  Replication data for: Culture Context  and the Taste for Redistribution  ,114752,  2011-02-01T00:00:00  ,  2019-10-13T10:39:55.804Z  ,  PUBLISHED  ,7,231544,,,,,,
  Replication data for: Spatial Misallocation and Rent Controls  ,114510,  2019-05-01T00:00:00  ,  2019-10-13T05:33:22.29Z  ,  PUBLISHED  ,43,1458499,,,,,,
  Replication data for: Cheating and Incentives: Learning from a Policy Experiment  ,114631,  2018-02-01T00:00:00  ,  2019-10-13T08:03:48.038Z  ,  PUBLISHED  ,6,51204504,,,,,,
  Replication data for: Dynamic Commitment and the Soft Budget Constraint: An Empirical Test  ,114740,  2010-08-01T00:00:00  ,  2019-10-13T10:18:14.581Z  ,  PUBLISHED  ,6,568633,,,,,,
  Replication data for: A Procurement Auction for Toxic Assets with Asymmetric Information  ,114411,  2013-11-01T00:00:00  ,  2019-10-13T03:36:36.231Z  ,  PUBLISHED  ,16,6414070,,,,,,
  Replication data for: Voluntary Contributions and Collective Redistribution  ,114338,  2016-11-01T00:00:00  ,  2019-10-13T02:44:07.694Z  ,  PUBLISHED  ,4,1062210,,,,,,
  Replication data for: Global Financial Cycles and the Exchange Rate Regime: A Perspective from Emerging Markets  ,114459,  2018-05-01T00:00:00  ,  2019-10-13T05:02:41.748Z  ,  PUBLISHED  ,2,21475,,,,,,
  Replication data for: Quality Disclosure Programs and Internal Organizational Practices: Evidence from Airline Flight Delays  ,114326,  2015-04-01T00:00:00  ,  2019-10-13T02:17:54.134Z  ,  PUBLISHED  ,21,8042460737,,,,,,
  Replication data for: Misperceptions about Tax Audits  ,114447,  2018-05-01T00:00:00  ,  2019-10-13T04:01:55.643Z  ,  PUBLISHED  ,7,75868,,,,,,
  Replication data for: Reputational Incentives for Restaurant Hygiene  ,114314,  2009-02-01T00:00:00  ,  2019-10-13T02:10:28.104Z  ,  PUBLISHED  ,6,34909151,,,,,,
  Replication data for: Algorithmic Fairness  ,114435,  2018-05-01T00:00:00  ,  2019-10-13T03:57:16.108Z  ,  PUBLISHED  ,26,32898729,,,,,,
  Replication data for: Persistence of Fortune: Accounting for Population Movements  There Was No Post-Columbian Reversal  ,114302,  2014-07-01T00:00:00  ,  2019-10-13T02:02:22.412Z  ,  PUBLISHED  ,5,346650,,,,,,
  Replication data for: Hypothetical Thinking and Information Extraction in the Laboratory  ,114423,  2014-11-01T00:00:00  ,  2019-10-13T03:43:36.705Z  ,  PUBLISHED  ,26,5333371,,,,,,
  Replication data for: Did the Americanization Movement Succeed? An Evaluation of the Effect of English-Only and Compulsory Schooling Laws on Immigrants  ,114555,  2015-08-01T00:00:00  ,  2019-10-13T06:17:14.533Z  ,  PUBLISHED  ,28,5304762123,,,,,,
  Replication data for: Causal Spousal Health Spillover Effects and Implications for Program Evaluation  ,114676,  2017-11-01T00:00:00  ,  2019-10-13T09:22:53.601Z  ,  PUBLISHED  ,8,374993,,,,,,
  Replication data for: Adaptation to Climate Change: Evidence from US Agriculture  ,114567,  2016-08-01T00:00:00  ,  2019-10-13T06:25:02.959Z  ,  PUBLISHED  ,42,88861825,,,,,,
  Replication data for: Moral Suasion and Economic Incentives: Field Experimental Evidence from Energy Demand  ,114688,  2018-02-01T00:00:00  ,  2019-10-13T09:33:58.923Z  ,  PUBLISHED  ,3,20566,,,,,,
  Replication data for: Turning a Shove into a Nudge? A  Labeled Cash Transfer  for Education  ,114579,  2015-08-01T00:00:00  ,  2019-10-13T06:48:01.158Z  ,  PUBLISHED  ,76,163175271,,,,,,
  Replication data for: No Child Left Behind: Subsidized Child Care and Children's Long-Run Outcomes  ,114761,  2011-05-01T00:00:00  ,  2019-10-13T10:48:33.645Z  ,  PUBLISHED  ,4,86978,,,,,,
  Replication data for: Trade Agreements and Enforcement: Evidence from WTO Dispute Settlement  ,114640,  2017-11-01T00:00:00  ,  2019-10-13T08:10:04.351Z  ,  PUBLISHED  ,4,122933,,,,,,
  Replication data for: The Burgeoning Health Care Needs of Aging Prisoners  ,114531,  2019-05-01T00:00:00  ,  2019-10-13T05:39:28.445Z  ,  PUBLISHED  ,4,126934136,,,,,,
  Replication data for: The Effects of Tobacco Control Policies on Tobacco Products  Tar and Nicotine Purchases among Adults: Evidence from Household Panel Data  ,114652,  2016-11-01T00:00:00  ,  2019-10-13T09:10:39.656Z  ,  PUBLISHED  ,14,236724693,,,,,,
  Replication data for: Fiscal Policy Multipliers on Subnational Government Spending  ,114785,  2012-05-01T00:00:00  ,  2019-10-13T11:09:53.238Z  ,  PUBLISHED  ,25,12391813,,,,,,
  Replication data for: How Do Gasoline Prices Affect Fleet Fuel Economy?  ,114543,  2009-08-01T00:00:00  ,  2019-10-13T05:45:06.406Z  ,  PUBLISHED  ,17,345762,,,,,,
  Replication data for: The Effects of State Medicaid Expansions for Working-Age Adults on Senior Medicare Beneficiaries  ,114664,  2017-08-01T00:00:00  ,  2019-10-13T09:19:05.98Z  ,  PUBLISHED  ,6,1390281,,,,,,
  Replication data for: Do Strikes Kill? Evidence from New York State  ,114773,  2012-02-01T00:00:00  ,  2019-10-13T11:02:29.559Z  ,  PUBLISHED  ,49,246951,,,,,,
  Replication data for: Accounting for Crises  ,114301,  2014-07-01T00:00:00  ,  2019-10-13T02:02:08.933Z  ,  PUBLISHED  ,13,1477432,,,,,,
  Replication data for: The Control Premium: A Preference for Payoff Autonomy  ,114422,  2014-11-01T00:00:00  ,  2019-10-13T03:43:25.361Z  ,  PUBLISHED  ,5,634949,,,,,,
  Replication data for: Collusion with Asymmetric Retailers: Evidence from a Gasoline Price-Fixing Case  ,114410,  2013-08-01T00:00:00  ,  2019-10-13T03:36:06.064Z  ,  PUBLISHED  ,34,4083609,,,,,,
  Replication data for: Product versus Process: Innovation Strategies of Multiproduct Firms  ,114349,  2018-02-01T00:00:00  ,  2019-10-13T02:47:54.072Z  ,  PUBLISHED  ,2,65074,,,,,,
  Replication data for: Affirmative Action: One Size Does Not Fit All  ,114337,  2016-05-01T00:00:00  ,  2019-10-13T02:43:54.233Z  ,  PUBLISHED  ,14,78936,,,,,,
  Replication data for: Reach for Yield and Fickle Capital Flows  ,114458,  2018-05-01T00:00:00  ,  2019-10-13T05:02:34.724Z  ,  PUBLISHED  ,4,26162,,,,,,
  Replication data for: Uncertainty and Trade Agreements  ,114325,  2015-11-01T00:00:00  ,  2019-10-13T02:13:49.482Z  ,  PUBLISHED  ,9,86559,,,,,,
  Replication data for: Internet Rising  Prices Falling: Measuring Inflation in a World of E-Commerce  ,114446,  2018-05-01T00:00:00  ,  2019-10-13T04:01:49.236Z  ,  PUBLISHED  ,2,73258,,,,,,
  Replication data for: Digital Financial Services Go a Long Way: Transaction Costs and Financial Inclusion  ,114434,  2018-05-01T00:00:00  ,  2019-10-13T03:56:30.891Z  ,  PUBLISHED  ,52,44577501,,,,,,
  Replication data for: The Divergence of Legal Procedures  ,114544,  2009-08-01T00:00:00  ,  2019-10-13T05:45:22.651Z  ,  PUBLISHED  ,8,341874,,,,,,
  Replication data for: The Effect of Export Promotion on Firm-Level Performance  ,114665,  2018-02-01T00:00:00  ,  2019-10-13T09:19:21.361Z  ,  PUBLISHED  ,4,105438,,,,,,
  Replication data for: Does Vertical Integration Decrease Prices? Evidence from the Paramount Antitrust Case of 1948  ,114556,  2015-05-01T00:00:00  ,  2019-10-13T06:21:51.561Z  ,  PUBLISHED  ,4,11951994,,,,,,
  Replication data for: Trade Shocks and the Provision of Local Public Goods  ,114677,  2017-11-01T00:00:00  ,  2019-10-13T09:23:05.805Z  ,  PUBLISHED  ,38,51990666,,,,,,
  Replication data for: Measuring Tax Multipliers: The Narrative Method in Fiscal VARs  ,114786,  2012-05-01T00:00:00  ,  2019-10-13T11:10:16.144Z  ,  PUBLISHED  ,3,1316251,,,,,,
  Replication data for: The Best of Times  the Worst of Times: Understanding Pro-cyclical Mortality  ,114568,  2015-11-01T00:00:00  ,  2019-10-13T06:27:22.543Z  ,  PUBLISHED  ,78,6243918640,,,,,,
  Replication data for: The Effect of Prescription Drug Monitoring Programs on Opioid Utilization in Medicare  ,114689,  2018-02-01T00:00:00  ,  2019-10-13T09:34:16.771Z  ,  PUBLISHED  ,38,410816263,,,,,,
  Replication data for: Sharing Demographic Risk--Who Is Afraid of the Baby Bust?  ,114750,  2010-11-01T00:00:00  ,  2019-10-13T10:29:49.293Z  ,  PUBLISHED  ,734,11225275,,,,,,
  Replication data for: Discrimination in Ambient Air Pollution Monitoring?  ,114520,  2019-05-01T00:00:00  ,  2019-10-13T05:37:03.006Z  ,  PUBLISHED  ,7,384425489,,,,,,
  Replication data for: Resource Constraints and the Criminal Justice System: Evidence from Judicial Vacancies  ,114641,  2016-11-01T00:00:00  ,  2019-10-13T08:10:12.658Z  ,  PUBLISHED  ,8,4750316,,,,,,
  Replication data for: Will There Be Blood? Incentives and Displacement Effects in Pro-social Behavior  ,114774,  2012-02-01T00:00:00  ,  2019-10-13T11:03:15.02Z  ,  PUBLISHED  ,5,206962,,,,,,
  Replication data for: Examining Medicaid Expansion and the Treatment of Substance Use Disorders  ,114532,  2019-05-01T00:00:00  ,  2019-10-13T05:39:42.58Z  ,  PUBLISHED  ,3,147521,,,,,,
  Replication data for: Can Hiring Quotas Work? The Effect of the Nitaqat Program on the Saudi Private Sector  ,114653,  2017-05-01T00:00:00  ,  2019-10-13T09:11:07.307Z  ,  PUBLISHED  ,8,122582,,,,,,
  Replication data for: The Trade Effects of Endogenous Preferential Trade Agreements  ,114762,  2011-08-01T00:00:00  ,  2019-10-13T10:48:44.204Z  ,  PUBLISHED  ,16,17186103,,,,,,
  Replication data for: Welfare Reversals in a Monetary Union  ,114308,  2014-10-01T00:00:00  ,  2019-10-13T02:04:37.456Z  ,  PUBLISHED  ,191,3858909,,,,,,
  Replication data for: Intergenerational Effects of Incarceration  ,114429,  2018-05-01T00:00:00  ,  2019-10-13T03:55:07.402Z  ,  PUBLISHED  ,2,16125,,,,,,
  Replication data for: Communication  Renegotiation  and the Scope for Collusion  ,114417,  2014-05-01T00:00:00  ,  2019-10-13T03:42:05.798Z  ,  PUBLISHED  ,9,1109012,,,,,,
  Replication data for: Testing for Factor Price Equality with Unobserved Differences in Factor Quality or Productivity  ,114405,  2013-05-01T00:00:00  ,  2019-10-13T03:26:59.645Z  ,  PUBLISHED  ,3,70134,,,,,,
  Replication data for: An Empirical Framework for Large-Scale Policy Analysis with an Application to School Finance Reform in Michigan  ,114537,  2009-02-01T00:00:00  ,  2019-10-13T05:40:23.818Z  ,  PUBLISHED  ,63,353885,,,,,,
  Replication data for: The Fall of Coal: Joint Impacts of Fuel Prices and Renewables on Generation and Emissions  ,114658,  2018-05-01T00:00:00  ,  2019-10-13T09:14:18.537Z  ,  PUBLISHED  ,20,1075889092,,,,,,
  Replication data for: New Estimates of the Value of a Statistical Life Using Air Bag Regulations as a Quasi-experiment  ,114549,  2015-02-01T00:00:00  ,  2019-10-13T06:03:19.56Z  ,  PUBLISHED  ,23,273407322,,,,,,
  Replication data for: Sacred Cars? Cost-Effective Regulation of Stationary and Nonstationary Pollution Sources  ,114779,  2012-02-01T00:00:00  ,  2019-10-13T11:07:38.767Z  ,  PUBLISHED  ,14,2923114,,,,,,
  Replication data for: Corruption in Procurement and the Political Cycle in Tunneling: Evidence from Financial Transactions Data  ,114610,  2016-05-01T00:00:00  ,  2019-10-13T07:27:28.988Z  ,  PUBLISHED  ,10,3160390362,,,,,,
  Replication data for: The General Equilibrium Incidence of Environmental Mandates  ,114743,  2010-08-01T00:00:00  ,  2019-10-13T10:19:00.062Z  ,  PUBLISHED  ,4,84208,,,,,,
  Replication data for: The Impact of Big Data on Firm Performance: An Empirical Investigation  ,114501,  2019-05-01T00:00:00  ,  2019-10-13T05:31:27.559Z  ,  PUBLISHED  ,4,59935,,,,,,
  Replication data for: Controlling Health Care Costs through Limited Network Insurance Plans: Evidence from Massachusetts State Employees  ,114622,  2016-05-01T00:00:00  ,  2019-10-13T07:35:55.002Z  ,  PUBLISHED  ,6,135876,,,,,,
  Replication data for: The First of the Month Effect: Consumer Behavior and Store Responses  ,114731,  2010-05-01T00:00:00  ,  2019-10-13T10:15:38.396Z  ,  PUBLISHED  ,11,183847,,,,,,
  Replication data for: The Evolution of the Online Platform Economy: Evidence from Five Years of Banking Data  ,114513,  2019-05-01T00:00:00  ,  2019-10-13T05:34:30.779Z  ,  PUBLISHED  ,2,69904,,,,,,
  Replication data for: Extrinsic and Intrinsic Motivations for Tax Compliance: Evidence from a Field Experiment in Germany  ,114634,  2016-08-01T00:00:00  ,  2019-10-13T08:05:44.991Z  ,  PUBLISHED  ,5,145896,,,,,,
  Replication data for: Public-Place Smoking Laws and Exposure to Environmental Tobacco Smoke (ETS)  ,114767,  2011-08-01T00:00:00  ,  2019-10-13T10:52:43.169Z  ,  PUBLISHED  ,28,568600,,,,,,
  Replication data for: The Gender Socialization of Children Growing Up in Nontraditional Families  ,114525,  2019-05-01T00:00:00  ,  2019-10-13T05:38:33.495Z  ,  PUBLISHED  ,4,5693084,,,,,,
  Replication data for: Are Local Tax Rates Strategic Complements or Strategic Substitutes?  ,114646,  2019-05-01T00:00:00  ,  2019-10-13T09:06:38.776Z  ,  PUBLISHED  ,45,343131482,,,,,,
  Replication data for: Calorie Posting in Chain Restaurants  ,114755,  2011-02-01T00:00:00  ,  2019-10-13T10:41:49Z  ,  PUBLISHED  ,170,9422300,,,,,,
  Replication data for: Decentralized Deterrence with an Application to Labor Tax Auditing  ,114404,  2013-02-01T00:00:00  ,  2019-10-13T03:26:51.239Z  ,  PUBLISHED  ,5,5845208,,,,,,
  Replication data for: Affiliation and Entry in First-Price Auctions with Heterogeneous Bidders: An Analysis of Merger Effects  ,114319,  2015-04-01T00:00:00  ,  2019-10-13T02:11:34.282Z  ,  PUBLISHED  ,74,1038717,,,,,,
  Replication data for: Medium Term Business Cycles in Developing Countries  ,114307,  2014-10-01T00:00:00  ,  2019-10-13T02:03:50.632Z  ,  PUBLISHED  ,48,1432757,,,,,,
  Replication data for: Reconciling Results on Racial Differences in Police Shootings  ,114428,  2018-05-01T00:00:00  ,  2019-10-13T03:54:55.882Z  ,  PUBLISHED  ,8,1650259,,,,,,
  Replication data for: Detection  Identification and Estimation of Loss Aversion: Evidence from an Auction Experiment  ,114416,  2014-02-01T00:00:00  ,  2019-10-13T03:41:55.024Z  ,  PUBLISHED  ,9,122947,,,,,,
  Replication data for: Child Penalties across Countries: Evidence and Explanations  ,114526,  2019-05-01T00:00:00  ,  2019-10-13T05:38:41.109Z  ,  PUBLISHED  ,4,504609,,,,,,
  Replication data for: Power to Choose? An Analysis of Consumer Inertia in the Residential Electricity Market  ,114647,  2017-11-01T00:00:00  ,  2019-10-13T09:07:45.492Z  ,  PUBLISHED  ,62,109764,,,,,,
  Replication data for: Domestic Effects of the Foreign Activities of US Multinationals  ,114538,  2009-02-01T00:00:00  ,  2019-10-13T05:41:07.439Z  ,  PUBLISHED  ,2,24323,,,,,,
  Replication data for: Best Prices: Price Discrimination and Consumer Substitution  ,114659,  2019-02-01T00:00:00  ,  2019-10-13T09:15:38.239Z  ,  PUBLISHED  ,77,15980713,,,,,,
  Replication data for: A's from Zzzz's? The Causal Effect of School Start Time on the Academic Achievement of Adolescents  ,114768,  2011-08-01T00:00:00  ,  2019-10-13T10:53:12.702Z  ,  PUBLISHED  ,33,9961709,,,,,,
  Replication data for: The Long-Run Impacts of Financial Aid: Evidence from California's Cal Grant  ,114720,  2019-02-01T00:00:00  ,  2019-10-13T10:05:57.401Z  ,  PUBLISHED  ,10,290230,,,,,,
  Replication data for: Child Benefit Support and Method of Payment: Evidence from a Randomized Experiment in Belgium  ,114732,  2010-05-01T00:00:00  ,  2019-10-13T10:16:01.838Z  ,  PUBLISHED  ,5,952254,,,,,,
  Replication data for: Political Economy of Redistribution in the United States in the Aftermath of World War II--Evidence and Theory  ,114611,  2016-11-01T00:00:00  ,  2019-10-13T07:30:13.699Z  ,  PUBLISHED  ,6,667608,,,,,,
  Replication data for: The Rise of the Dollar and Fall of the Euro as International Currencies  ,114502,  2019-05-01T00:00:00  ,  2019-10-13T05:31:36.49Z  ,  PUBLISHED  ,11,5794115,,,,,,
  Replication data for: Do Cash Transfers Improve Birth Outcomes? Evidence from Matched Vital Statistics Program and Social Security Data  ,114623,  2016-05-01T00:00:00  ,  2019-10-13T07:38:12.392Z  ,  PUBLISHED  ,76,9144648959,,,,,,
  Replication data for: The End of Court-Ordered Desegregation  ,114756,  2011-05-01T00:00:00  ,  2019-10-13T10:43:56.974Z  ,  PUBLISHED  ,14,29646857,,,,,,
  Replication data for: Profit Shifting in a Globalized World  ,114514,  2019-05-01T00:00:00  ,  2019-10-13T05:34:36.456Z  ,  PUBLISHED  ,3,124110,,,,,,
  Replication data for: Particulate Pollution and the Productivity of Pear Packers  ,114635,  2016-08-01T00:00:00  ,  2019-10-13T08:05:54.145Z  ,  PUBLISHED  ,8,51973,,,,,,
  Replication data for: Is Lottery Gambling Addictive?  ,114744,  2010-08-01T00:00:00  ,  2019-10-13T10:19:31.031Z  ,  PUBLISHED  ,7,704299759,,,,,,
  Replication data for: The Coordination Value of Monetary Exchange: Experimental Evidence  ,114415,  2014-02-01T00:00:00  ,  2019-10-13T03:41:42.922Z  ,  PUBLISHED  ,8,1323581,,,,,,
  Replication data for: Set-Asides and Subsidies in Auctions  ,114403,  2013-02-01T00:00:00  ,  2019-10-13T03:23:39.842Z  ,  PUBLISHED  ,251,14054840,,,,,,
